"","color_position","Participant_ID","Condition","condition_str","participant_number","trials_gen.thisTrialN","gen_response_color_index_in_orig_colorbar_space","gen_response_distance_idx","gen_response_distance_dE","gen_signed_distance_idx","trial_within_test_color","idx_for_graph","exemplar_position","color_to_prototype_distance_idx","color_to_prototype_de"
"224",72,"SU23_1002",1,"Light Far",1002,43,48,24,8.428478394,-24,3,72,52,20,7
"225",133,"SU23_1002",1,"Light Far",1002,44,109,24,13.67152661,-24,3,133,158,-25,15
"226",72,"SU23_1002",1,"Light Far",1002,45,41,31,10.56261378,-31,4,74,52,20,7
"227",203,"SU23_1002",1,"Light Far",1002,46,180,23,13.53927602,-23,4,205,226,-23,15
"228",251,"SU23_1002",1,"Light Far",1002,47,251,0,0,0,3,251,226,25,15
"229",93,"SU23_1002",1,"Light Far",1002,48,70,23,9.396018895,-23,4,95,93,0,0
"230",170,"SU23_1002",1,"Light Far",1002,49,204,34,19.63753248,34,3,170,158,12,7
"231",146,"SU23_1002",1,"Light Far",1002,50,113,33,19.631134,-33,3,146,158,-12,7
"232",123,"SU23_1002",1,"Light Far",1002,51,117,6,3.409323206,-6,3,123,93,30,15
"233",10,"SU23_1002",1,"Light Far",1002,52,14,4,2.200538031,4,4,12,52,-42,15
"234",52,"SU23_1002",1,"Light Far",1002,53,39,13,4.075385484,-13,3,52,52,0,0
"235",158,"SU23_1002",1,"Light Far",1002,54,167,9,5.148667296,9,3,158,158,0,0
"236",185,"SU23_1002",1,"Light Far",1002,55,181,4,2.274949773,-4,3,185,158,27,15
"237",108,"SU23_1002",1,"Light Far",1002,56,66,42,17.74849245,-42,3,108,93,15,7
"238",241,"SU23_1002",1,"Light Far",1002,57,228,13,5.894470362,-13,3,241,226,15,7
"239",158,"SU23_1002",1,"Light Far",1002,58,120,38,22.76069544,-38,4,160,158,0,0
"240",185,"SU23_1002",1,"Light Far",1002,59,192,7,4.064431992,7,4,187,158,27,15
"241",29,"SU23_1002",1,"Light Far",1002,60,23,6,2.531635629,-6,4,31,52,-23,7
"242",226,"SU23_1002",1,"Light Far",1002,61,228,2,1.314625344,2,3,226,226,0,0
"243",108,"SU23_1002",1,"Light Far",1002,62,71,37,15.95039485,-37,4,110,93,15,7
"244",133,"SU23_1002",1,"Light Far",1002,63,85,48,24.22656488,-48,4,135,158,-25,15
"245",123,"SU23_1002",1,"Light Far",1002,64,79,44,20.74385145,-44,4,125,93,30,15
"246",52,"SU23_1002",1,"Light Far",1002,65,40,12,3.775540244,-12,4,54,52,0,0
"247",251,"SU23_1002",1,"Light Far",1002,66,244,7,7.656691675,-7,4,253,226,25,15
"248",226,"SU23_1002",1,"Light Far",1002,67,228,2,1.314625344,2,4,228,226,0,0
"249",146,"SU23_1002",1,"Light Far",1002,68,109,37,21.70339852,-37,4,148,158,-12,7
"250",170,"SU23_1002",1,"Light Far",1002,69,84,86,45.69956407,-86,4,172,158,12,7
"251",241,"SU23_1002",1,"Light Far",1002,70,228,13,5.894470362,-13,4,243,226,15,7
"252",76,"SU23_1002",1,"Light Far",1002,71,50,26,9.332288024,-26,4,78,93,-17,7
"253",185,"SU23_1002",1,"Light Far",1002,72,182,3,1.709035946,-3,5,189,158,27,15
"254",93,"SU23_1002",1,"Light Far",1002,73,75,18,7.489454912,-18,5,97,93,0,0
"255",108,"SU23_1002",1,"Light Far",1002,74,108,0,0,0,5,112,93,15,7
"256",158,"SU23_1002",1,"Light Far",1002,75,149,9,5.398424335,-9,5,162,158,0,0
"257",241,"SU23_1002",1,"Light Far",1002,76,224,17,8.050050219,-17,5,245,226,15,7
"258",10,"SU23_1002",1,"Light Far",1002,77,12,2,1.105685771,2,5,14,52,-42,15
"259",93,"SU23_1002",1,"Light Far",1002,78,68,25,10.13835676,-25,6,99,93,0,0
"260",52,"SU23_1002",1,"Light Far",1002,79,46,6,1.934654911,-6,5,56,52,0,0
"261",133,"SU23_1002",1,"Light Far",1002,80,119,14,8.324725028,-14,5,137,158,-25,15
"262",146,"SU23_1002",1,"Light Far",1002,81,119,27,16.37054206,-27,5,150,158,-12,7
"263",72,"SU23_1002",1,"Light Far",1002,82,40,32,10.85525584,-32,5,76,52,20,7
